🌴广西IPTV,#genre#
CCTV10,http://39.135.32.34:6610/000000001000/7019587760656900133/1.m3u8?channel-id=ystenlive&Contentid=7019587760656900133&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=7019587760656900133&owchid=ystenlive&owsid=4493204828791695450&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4jny0dcTkc6Mv3O2WQVyOPy0kgVchi2KKTsM9Fvtix3LYTQy8EYgJFO6mzlXBzaWlf0T3sLEMUoaUn4xwDGpCo&IASHttpSessionId=SLB379120180727145744957809
CCTV11,http://39.135.32.34:6610/000000001000/6351457414282570521/1.m3u8?channel-id=ystenlive&Contentid=6351457414282570521&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=6351457414282570521&owchid=ystenlive&owsid=4493204828791703270&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE6PT7L0mL1%2bEJ6K3D%2fk3syshr%2fPiAqc1yoKmzhbXbSsUk13UaAnRGjBwD4OcuENbMdWlPxxl%2fdtp3g8iBFLXwkk&IASHttpSessionId=SLB1048920180727145814687276
CCTV12,http://39.135.32.34:6610/000000001000/5325631075193490169/1.m3u8?channel-id=ystenlive&Contentid=5325631075193490169&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=5325631075193490169&owchid=ystenlive&owsid=4493204828791715346&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE58mvdgUvN1actinktiatDp1K%2bMz0vA5nRiFbO9zAqSJTUx7sMo5nP6vtPGeSGrbhamvZfyQC5eLHSpDf8x0YD4&IASHttpSessionId=SLB3788201807271459021122150
CCTV13,http://39.135.32.34:6610/000000001000/6918130250570453526/1.m3u8?channel-id=ystenlive&Contentid=6918130250570453526&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=6918130250570453526&owchid=ystenlive&owsid=4493204828791728820&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5SJckYix32FQdWweMjZIfA%2fb3c6oce5W%2ffJT7MwPW%2fIEuLykCNnwtEYqj9vsrno4cPWC1tbj9jLkqzQnhkro8C&IASHttpSessionId=SLB381020180727145954813883
CCTV14少儿,http://39.135.32.34:6610/000000001000/8203666801302077036/1.m3u8?channel-id=ystenlive&Contentid=8203666801302077036&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=8203666801302077036&owchid=ystenlive&owsid=4493204828791741473&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE45RqncJsLMCToComF9xrhhZsvJSVrNZCsz%2bWxSynF1Omrr7itg%2ffgqCooE9Bm%2fMNEXfJ5EZ4uNeRaVTCbZC3DH&IASHttpSessionId=SLB381020180727150044813891
CCTV15音乐,http://39.135.32.34:6610/000000001000/4832596595465032187/1.m3u8?channel-id=ystenlive&Contentid=4832596595465032187&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=4832596595465032187&owchid=ystenlive&owsid=4493204828791752394&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE40HufW91xyR2qcuL5nQPRndHJzJIfUUVkfR14MWORlZc74H0yDgL1WnwGDuiv2q32YP89KMzST6j5Pq6WXPBn8&IASHttpSessionId=SLB1025020180727150126693855
广西卫视,http://39.135.32.34:6610/000000001000/8069815772565148726/1.m3u8?channel-id=ystenlive&Contentid=8069815772565148726&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=8069815772565148726&owchid=ystenlive&owsid=4493204828791852752&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE49R%2bhg7ESHjE0CYxV9XvBqLUyhEwinKmOr1XuJ8EHNsZKfX7OAoADUiLbiOlLG%2f8xneZkErmH%2feoZigd2E5Hgb&IASHttpSessionId=SLB379920180727150758849676
湖南卫视,http://39.135.32.34:6610/000000001000/1000000001000009115/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009115&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000009115&owchid=ystenlive&owsid=4493204828791864978&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9dWG2bNAzK0hBtOreAuPMMyuA3%2fCap3NbTkoQCOAf0UigRJlbvvBWR5%2bPn69f%2bZBK6&IASHttpSessionId=SLB379820180727150846834964
浙江卫视,http://39.135.32.34:6610/000000001000/1000000001000009806/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009806&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000009806&owchid=ystenlive&owsid=4493204828791879159&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9d8ByyDSx2T2%2fxX1wIvu%2bRiR%2bjzky8AbGxexQm2ckVz3Qb4rcfCIefWcayx9mpWYFr&IASHttpSessionId=SLB1154720180727150941665575
上海卫视,http://39.135.32.34:6610/000000001000/1000000001000030202/1.m3u8?channel-id=ystenlive&Contentid=1000000001000030202&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000030202&owchid=ystenlive&owsid=4493204828791891324&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9d67v54DH5KkydiOnZ%2bn09TYojgZXxMCB9Q28P%2baRS970%2b65JcadUXhvF6wP%2bgfFHS&IASHttpSessionId=SLB379420180727151029855859
江苏卫视,http://39.135.32.34:6610/000000001000/1000000001000004684/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004684&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000004684&owchid=ystenlive&owsid=4493204828791899102&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9dQXCe54UndJIQTn30GMVDbmAP9iGmT%2f%2fl9FFmK8dBDktgXmW2Iio6ejNfmbsRoTnF&IASHttpSessionId=SLB1062420180727151059681346
北京卫视,http://39.135.32.34:6610/000000001000/1000000001000017156/1.m3u8?channel-id=ystenlive&Contentid=1000000001000017156&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000017156&owchid=ystenlive&owsid=4493204828791907763&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9dcCkDzvXlocQLsEaLjOyVnkUEsl8EJfgzcZUcvYAGwJE0gJxKHVWxPJNEh2uSSkq4&IASHttpSessionId=SLB381320180727151133801801
天津卫视,http://39.135.32.34:6610/000000001000/1000000001000000831/1.m3u8?channel-id=ystenlive&Contentid=1000000001000000831&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000000831&owchid=ystenlive&owsid=4493204828791924520&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9d3HfMUZXB7IDLfLhPK%2fpsi1Kj6H6ECjNevIAyJ1M0Uv0RUa2qM0ogfaDSMmMO9V8H&IASHttpSessionId=SLB379620180727151239848616
广东卫视,http://39.135.32.34:6610/000000001000/1000000001000028357/1.m3u8?channel-id=ystenlive&Contentid=1000000001000028357&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000028357&owchid=ystenlive&owsid=4493204828791931469&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9d%2bmGCvLm8n3YGrRrfFfLnf029cbhnxDOgiQiptcjD8%2f5GKCJwHRSY3yUE%2b83AkP2V&IASHttpSessionId=SLB943820180727151306962634
深圳卫视,http://39.135.32.34:6610/000000001000/1000000001000011645/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011645&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000011645&owchid=ystenlive&owsid=4493204828791941337&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9dA8JFowrJmbiXUnVz%2b%2bRyXqcEDEXpINoQ3aHb3pZk%2fXcUebFPw4T5vo%2b732GNVJRy&IASHttpSessionId=SLB381120180727151345803506
山东卫视,http://39.135.32.34:6610/000000001000/1000000001000012807/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000012807&owchid=ystenlive&owsid=4493204828791948601&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9do8PltJ%2fvQ4kubJ2MT70MFuTG6nXXbhhSimZMJ1vNui1tpknQ9jaXTynpGsZ0anWH&IASHttpSessionId=SLB943820180727151413962653
湖北卫视,http://39.135.32.34:6610/000000001000/6956052407855047826/1.m3u8?channel-id=ystenlive&Contentid=6956052407855047826&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=6956052407855047826&owchid=ystenlive&owsid=4493204828791956536&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4%2fxRvoS6krc9NqlNx9D8Y1pwtzXpu9HBJHb46LAqNKX8fp71QNL8heuVsJv02meYOUz58QbIC3hHatQiBlcIgz&IASHttpSessionId=SLB381220180727151446793932
安徽卫视,http://39.135.32.34:6610/000000001000/4774346722046993363/1.m3u8?channel-id=ystenlive&Contentid=4774346722046993363&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=4774346722046993363&owchid=ystenlive&owsid=4493204828791965236&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7mcgKqT9iEErpxNzP50l5XTV%2biHM%2b21fjVxlRxpmIktNs9vDCU0vEfMtgnydEnbO5D9Bu8ZxYErO36%2bubjFmnL&IASHttpSessionId=SLB1154220180727151518672140
东南卫视,http://39.135.32.34:6610/000000001000/7721801662260370363/1.m3u8?channel-id=ystenlive&Contentid=7721801662260370363&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=7721801662260370363&owchid=ystenlive&owsid=4493204828791974782&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4eO0mz7xpyVWqLvsIbpAmT795N%2bcX9rDC%2b8AQRTGJ6qrX6vPqVNb2KMmWZIKYZEUjOYxe090WCkDndwC8xI2RN&IASHttpSessionId=SLB1051220180727151555684193
江西卫视,http://39.135.32.34:6610/000000001000/1000000001000013731/1.m3u8?channel-id=ystenlive&Contentid=1000000001000013731&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=1000000001000013731&owchid=ystenlive&owsid=4493204828791981248&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4tSgi1FxmNHE0q06AvCn9dMDQV5fMrqUvjS3ELVei940Mfk27WcwgjpIbKjLg1Pfz%2bXgbVlQb6%2f79j31wPM6tk&IASHttpSessionId=SLB379220180727151621903362
四川卫视,http://39.135.32.34:6610/000000001000/8744805262559782299/1.m3u8?channel-id=ystenlive&Contentid=8744805262559782299&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=8744805262559782299&owchid=ystenlive&owsid=4493204828791992857&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE6ArdqFZqSx25IkpPY71uIaRgPCe7UYZ16VCT3FoStxM12i4H0B619oXkimXjvkE8z71egcg8aJnbaG50B%2bDqd1&IASHttpSessionId=SLB379120180727151706958081
贵州卫视,http://39.135.32.34:6610/000000001000/5468064193211864646/1.m3u8?channel-id=ystenlive&Contentid=5468064193211864646&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=5468064193211864646&owchid=ystenlive&owsid=4493204828792002340&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4TVVRtJfzfuVM5X%2bKlMl1fTX7lR004iAJrW58oh3%2ffI%2fC1suslFZJdCv8bNpatyH1hjrLfN0rJKSc%2fLBYkFjhJ&IASHttpSessionId=SLB1048920180727151743687411
重庆卫视,http://39.135.32.34:6610/000000001000/4995134319251569870/1.m3u8?channel-id=ystenlive&Contentid=4995134319251569870&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=4995134319251569870&owchid=ystenlive&owsid=4493204828792009675&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE6Eu8rN4ZTrnNkP7gjX7ac3bSh6%2flhr1EtPieUe6GyT31SznLr7AK2CCRs%2b76FYZd4B8pZUavtlKefLwNx4k0ol&IASHttpSessionId=SLB379620180727151812848657
旅游卫视,http://39.135.32.34:6610/000000001000/7899627377857656087/1.m3u8?channel-id=ystenlive&Contentid=7899627377857656087&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=7899627377857656087&owchid=ystenlive&owsid=4493204828792018603&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5VTOrc4sUr1tc7zkjrrlU0E23Lk%2fJbJwhAHU6Kbax7PW1J1HNoiDvr3XmcdaMbc8B12JBzbun7ClNfyndtk4xQ&IASHttpSessionId=SLB1082320180727151847660315
河北卫视,http://39.135.32.34:6610/000000001000/8360637122634561354/1.m3u8?channel-id=ystenlive&Contentid=8360637122634561354&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=8360637122634561354&owchid=ystenlive&owsid=4493204828792025582&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7FgUK%2fhT6ydCa15PfJu2XVgbY9f8BGDmGsN9H56z1Yd4S3RBTglKNnqPU1Y17b3g01YPHXRIdk%2feLyL7lC6Pe5&IASHttpSessionId=SLB380520180727151913820881
辽宁卫视,http://39.135.32.34:6610/000000001000/7638375013635582245/1.m3u8?channel-id=ystenlive&Contentid=7638375013635582245&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=7638375013635582245&owchid=ystenlive&owsid=4493204828792051947&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5c3lU5GgkdgNctAO5ivKkgng8ZL3wWGoQeF2R0DoLPYIfqkSSsOXlw3h2qCa0zx8O6q7y5tD20549TD7VfEYrr&IASHttpSessionId=SLB379120180727152056958176
黑龙江卫视,http://39.135.32.34:6610/000000001000/8467838254824392379/1.m3u8?channel-id=ystenlive&Contentid=8467838254824392379&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=8467838254824392379&owchid=ystenlive&owsid=4493204828792071256&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7snr%2fRsQrkgXAoJFPDYEzw8vpcYFMO3Xs8X2mkq4o77%2fKDC8B3TBlgAC69i
辽宁卫视,http://39.135.32.34:6610/000000001000/8938598377512027715/1.m3u8?channel-id=ystenlive&Contentid=8938598377512027715&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=8938598377512027715&owchid=ystenlive&owsid=4493204828792083414&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5fmx8MrHiLRgc7waYlYxRnkvHfTIo7Q3d0F6EsMIpV39I6ROC42TOW1Yp%2flMenVu9ehCYBy1dibGBXMcMTO3hs&IASHttpSessionId=SLB3788201807271522591122321
甘肃卫视,http://39.135.32.34:6610/000000001000/8938598377512027715/1.m3u8?channel-id=ystenlive&Contentid=8938598377512027715&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=8938598377512027715&owchid=ystenlive&owsid=4493204828792083414&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE5fmx8MrHiLRgc7waYlYxRnkvHfTIo7Q3d0F6EsMIpV39I6ROC42TOW1Yp/lMenVu9ehCYBy1dibGBXMcMTO3hs&IASHttpSessionId=SLB3788201807271522591122321
金鹰卡通,http://39.135.32.34:6610/000000001000/5201381050640253101/1.m3u8?channel-id=ystenlive&Contentid=5201381050640253101&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=5201381050640253101&owchid=ystenlive&owsid=4493204828792106351&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE7lUIk%2fc8n8uwrrkDBjpZjvslLHfgwi87KUZ4XwKIGjbVSOiAo1t%2fMywW3LbHfeIWnzX0v1dw6UHZu9a3q4mczG&IASHttpSessionId=SLB380520180727152429820919
北京少儿,http://39.135.32.34:6610/000000001000/7589856436881630561/1.m3u8?channel-id=ystenlive&Contentid=7589856436881630561&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=7589856436881630561&owchid=ystenlive&owsid=4493204828792117082&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE47lPpf0%2bB7waX1bFdpLlU2tttiAqHtBu0hdZoiM6gkQK4Yotn3oseU2hl9oU8sb%2fehsS7%2fmRksI1fI4saPKEPN&IASHttpSessionId=SLB381720180727152511793178
青海卫视,http://39.135.32.34:6610/000000001000/6721180114242078041/1.m3u8?channel-id=ystenlive&Contentid=6721180114242078041&livemode=1&stbId=005203FF000360100001001A34C0CD33&userToken=e15b57852d9cd94f58b9ccb1755d812821vv&usergroup=g21077200000&version=1.0&owaccmark=6721180114242078041&owchid=ystenlive&owsid=4493204828792127702&AuthInfo=yOLXJswzZFfV3FvB8MhHuElKGJKLbU5H0jB3qAhfSE4nNGtMTqj7cm%2b5KtgOe9u7Gn4v4CpXhmdy3OUwVUZqiUOWyud5GUb6v389J8lqvQ5fK9ONQ2Gc6btexQOtLOHn&IASHttpSessionId=SLB966920180727152553886381
